instance,n,algorithm,cost,time,nodes,memory,gap_pct
nug12,12,bb_base,578,6.62897,1558254,3.67188,0.0
nug12,12,bb_novel,578,39.8321,334279,3.67188,0.0
nug12,12,ts_base,594,0.00252355,0,3.66797,2.7681660899653977
nug12,12,ts_novel,578,0.00240113,0,3.66797,0.0
chr12a,12,bb_base,9552,0.475976,124448,3.66406,0.0
chr12a,12,bb_novel,9552,0.240349,830,3.60938,0.0
chr12a,12,ts_base,12096,0.00258713,0,3.66797,26.633165829145728
chr12a,12,ts_novel,11754,0.00219392,0,3.68359,23.05276381909548
tai12a,12,bb_base,224416,8.04914,1708314,3.66406,0.0
tai12a,12,bb_novel,224416,16.8302,87937,3.67188,0.0
tai12a,12,ts_base,235704,0.00216053,0,3.66406,5.029944388991872
tai12a,12,ts_novel,224416,0.00253811,0,3.69141,0.0
nug14,14,ts_base,1014,0.00299756,0,3.60938,0.0
nug14,14,ts_novel,1014,0.00404072,0,3.65625,0.0
chr15a,15,ts_base,15780,0.00635555,0,3.67188,59.45836701697656
chr15a,15,ts_novel,11778,0.00531846,0,3.71094,19.017784963621665
tai15a,15,ts_base,394060,0.00537632,0,3.66406,1.5058704735017285
tai15a,15,ts_novel,389718,0.0056123,0,3.65625,0.38741518853003754
nug20,20,ts_base,2614,0.0189994,0,3.66406,1.7120622568093384
nug20,20,ts_novel,2574,0.0187951,0,3.71484,0.1556420233463035
tai20a,20,ts_base,706786,0.0200839,0,3.62109,0.46966375827668655
tai20a,20,ts_novel,706786,0.0184454,0,3.68359,0.46966375827668655
tai25a,25,ts_base,1194332,0.0374545,0,3.63672,2.3196282563550756
tai25a,25,ts_novel,1179968,0.0355156,0,3.69531,1.089049874234958
nug25,25,ts_base,3768,0.0372407,0,3.67188,0.6410256410256411
nug25,25,ts_novel,3744,0.0370927,0,3.69531,0.0
nug30,30,ts_base,6158,0.11721,0,3.67969,0.5551926845199217
nug30,30,ts_novel,6150,0.110082,0,3.79688,0.4245591116917048
tai30a,30,ts_base,1845450,0.099247,0,3.67969,1.501749584466814
tai30a,30,ts_novel,1837058,0.0931097,0,3.78516,1.0401804915556836
