instance,n,algorithm,cost,bks,gap_pct,time,memory_mb,nodes
nug12,12,TS-Original,586,578,1.384,35.9751,0.01,0
nug12,12,TS-Reactive,578,578,0.0,35.8525,0.21,0
nug12,12,BB-Original,592,578,2.422,60.0047,0.01,12337
nug12,12,BB-Improved,578,578,0.0,60.0139,0.01,1254
chr12a,12,TS-Original,10580,9552,10.762,36.0173,0.01,0
chr12a,12,TS-Reactive,9552,9552,0.0,35.2605,0.21,0
chr12a,12,BB-Original,9552,9552,0.0,20.2056,0.01,4407
chr12a,12,BB-Improved,9552,9552,0.0,4.2527,0.01,128
tai12a,12,TS-Original,239848,224416,6.877,35.8208,0.01,0
tai12a,12,TS-Reactive,224416,224416,0.0,35.7719,0.21,0
tai12a,12,BB-Original,242590,224416,8.098,60.0042,0.01,11162
tai12a,12,BB-Improved,230704,224416,2.802,60.0474,0.01,1318
nug14,14,TS-Original,1024,1014,0.986,58.8603,0.01,0
nug14,14,TS-Reactive,1014,1014,0.0,58.6837,0.21,0
nug14,14,BB-Original,1030,1014,1.578,60.0064,0.01,9836
nug14,14,BB-Improved,1042,1014,2.761,60.0461,0.01,1212
chr15a,15,TS-Original,13020,9896,31.568,73.4189,0.01,0
chr15a,15,TS-Reactive,9978,9896,0.829,72.2738,0.23,0
tai15a,15,TS-Original,394398,388214,1.593,73.455,0.01,0
tai15a,15,TS-Reactive,388214,388214,0.0,73.4246,0.23,0
nug20,20,TS-Original,2596,2570,1.012,181.9315,0.02,0
nug20,20,TS-Reactive,2570,2570,0.0,179.8165,0.62,0
tai20a,20,TS-Original,709504,703482,0.856,180.9016,0.02,0
tai20a,20,TS-Reactive,708198,703482,0.67,180.5194,0.24,0
tai25a,25,TS-Original,1186412,1167256,1.641,459.6586,0.02,0
tai25a,25,TS-Reactive,1183984,1167256,1.433,455.511,0.25,0
nug25,25,TS-Original,3744,3744,0.0,457.6635,0.02,0
nug25,25,TS-Reactive,3744,3744,0.0,454.1951,0.27,0
nug30,30,TS-Original,6152,6124,0.457,962.8952,0.03,0
nug30,30,TS-Reactive,6162,6124,0.621,952.2178,0.3,0
tai30a,30,TS-Original,1851492,1818146,1.834,960.6516,0.03,0
tai30a,30,TS-Reactive,1825262,1818146,0.391,952.3223,0.31,0
